Sample_num,site,date,Month,Season,SeasonA,Year,Jul_date,Temp.ysi,Sal.ysi,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per_full,HSIwet,HSI_wet,lipid_num,liverFA,muscleFA,Harp,Gammarid,Poly,calanoid,crab,Caprellidae,Isopod,gastropod,Corphiidae,Shrimp,cumacea,Euphasid,Mysid,OTHER,Harp4,Gammarid4,Poly4,calanoid4,crab4,Caprellidae4,Isopod4,gastropod4,Corphiidae4,Shrimp4,cumacea4
158,EG West,12/3/2018,Dec,Winter,Aug-Dec,2018,337,5.1,31,103,96,8.2828,M,0.1203,5,5.13,0.016580525,0.015547457,159L,23.507,76.493,0.0691085,76.84865238,0,0,0,23.08223912,0,0,0,0,0,0,0,0,0.5127,2.9608,0,0,0,2.1919,0,0,0,0,0
159,EG West,12/3/2018,Dec,Winter,Aug-Dec,2018,337,5.1,31,91,84,5.7518,M,0.1157,2,3.24,0.023449059,0.021230137,160L,34.016,65.984,0,78.57142857,0,0,0,0,0,0,0,0,0,0,0,21.42857143,0,2.9773,0,0,0,0,0,0,0,0,0
160,EG West,12/3/2018,Dec,Winter,Aug-Dec,2018,337,5.1,31,88,84,5.8443,M,0.0611,6,8.05,0.012879427,0.011500527,161L,14.918,85.082,0,46.875,26.50162338,0,4.017857143,0,0,0,0,0,0,0,0,22.60551948,0,2.6166,2.2689,0,1.4158,0,0,0,0,0,0
96,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,60,56,1.774,I,0.0175,3,4.52,0.012671977,0.010439659,97L,2.228,97.772,16.04938272,1.234567901,0,0,0,82.71604938,0,0,0,0,0,0,0,0,2.0015,1.0541,0,0,0,3.0158,0,0,0,0,0
97,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,53,49,1.214,I,0.006,4,4.18,0.006338475,0.005184481,98L,1.904,98.096,46.15384615,53.84615385,0,0,0,0,0,0,0,0,0,0,0,0,2.6065,2.7089,0,0,0,0,0,0,0,0,0
98,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,54,49,1.3491,I,0.01,4,4.88,0.009436633,0.007854226,99L,1.486,98.514,33.33333333,4.761904762,61.9047619,0,0,0,0,0,0,0,0,0,0,0,2.4028,1.4772,2.805,0,0,0,0,0,0,0,0
99,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,61,57,1.9093,I,0.0089,4,5.13,0.005975561,0.004937587,100L,1.403,98.597,0.318471338,0,0,0,0,99.68152866,0,0,0,0,0,0,0,0,0.7512,0,0,0,0,3.1598,0,0,0,0,0
100,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,73,67,3.1112,I,0.0245,4,3.99,0.009298618,0.008269484,101L,3.315,96.685,50,0,0,0,50,0,0,0,0,0,0,0,0,0,2.6591,0,0,0,2.6591,0,0,0,0,0,0
101,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,60,56,2.1394,I,0.0219,4,6.82,0.012525021,0.011108293,102L,10.735,89.265,0.763358779,0,0,0,0,87.02290076,0,0,12.21374046,0,0,0,0,0,0.9347,0,0,0,0,3.0543,0,0,1.8694,0,0
102,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,65,60,2.3612,I,0.0297,5,6.46,0.015615963,0.013630106,103L,9.825,90.175,0.561797753,14.41947566,0,0,0.187265918,84.83146067,0,0,0,0,0,0,0,0,0.8658,1.9487,0,0,0.6578,3.0349,0,0,0,0,0
103,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,69,64,2.7453,I,0.031,3,3.92,0.013576246,0.011892887,104L,4.24,95.76,1.282051282,2.564102564,0,0,0,96.15384615,0,0,0,0,0,0,0,0,1.0641,1.2654,0,0,0,3.1314,0,0,0,0,0
104,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,60,56,1.8083,I,0.0153,3,3.99,0.009943459,0.008891213,105L,3.347,96.653,0,4.347826087,0,0,13.04347826,82.60869565,0,0,0,0,0,0,0,0,0,1.444,0,0,1.9004,3.0148,0,0,0,0,0
105,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,69,64,2.7233,I,0.0306,3,4.12,0.013466532,0.011858627,106L,3.54,96.46,0,46.875,0,0,6.25,46.875,0,0,0,0,0,0,0,0,0,2.6166,0,0,1.5811,2.6166,0,0,0,0,0
