Species,Specimen_num,bay,site #,date,Month,Year,J_date,temp,sal,capture method,age,TL,SL,wwt,sex,liver_wwt,mksht_body_evics_wwt,per_stom_wt,Kwet,Kwet_evic,HIS_wet,per_liver_FA,per_musc_FA,liver_bi,muscle_bi,WholeAnimal,liver_FA_conc,muscle_FA_conc
Pacific cod,EFH18/19-145,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,93,87,7.4606,M,0.0472,6.1877,6.53,0.93,0.86,0.6814605,12.197,87.803,0.12197,0.87803,3.792,60.629,3.329
Pacific cod,EFH18/19-140,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,97,91,7.4862,M,0.076,6.3411,6.8,0.82,0.76,1.1013056,12.398,87.602,0.12398,0.87602,6.095,63.045,5.339
Pacific cod,EFH18/19-271,Cook Bay,EG South,8/21/2020,Aug,2020,234,13.1,31.7,beach seine,0,95,88,7.5158,I,0.0282,NA,4.1,0.88,0.84,0.3927686,0.841,99.159,0.00841,0.99159,3.744,8.016,3.712
Pacific cod,EFH18/19-283,Cook Bay,EG South,8/21/2020,Aug,2020,234,13.1,31.7,beach seine,0,92,86,7.5231,I,0.0223,NA,11.57,0.97,0.85,0.3363195,2.269,97.731,0.02269,0.97731,3.017,20.356,2.948
Pacific cod,EFH18/19-165,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,99,92,7.5864,M,0.0419,6.7298,4.41,0.78,0.74,0.5811696,3.138,96.862,0.03138,0.96862,2.799,14.110,2.711
Pacific cod,EFH18/19-178,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,92,85,7.6345,M,0.0143,6.3872,6.55,0.98,0.91,0.2008399,0.878,99.122,0.00878,0.99122,4.346,17.042,4.308
Pacific cod,EFH18/19-179,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,93,87,7.6717,M,0.0481,5.9998,8.51,0.95,0.87,0.6900608,6.892,93.108,0.06892,0.93108,3.835,32.969,3.571
Pacific cod,EFH18/19-149,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,94,88,7.7853,M,0.1056,6.4198,6.45,0.94,0.86,1.4712029,21.145,78.855,0.21145,0.78855,5.432,69.830,4.283
Pacific cod,EFH18/19-144,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,98,91,7.8496,M,0.1924,6.5777,5.84,0.83,0.76,2.6726305,68.634,31.366,0.68634,0.31366,7.114,166.935,2.232
Pacific cod,EFH18/19-213,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,98,90,7.8518,I,0.0319,NA,3.8,0.83,0.8,0.4241344,2.657,97.343,0.02657,0.97343,3.105,19.453,3.023
Pacific cod,EFH18/19-274,Cook Bay,EG South,8/21/2020,Aug,2020,234,13.1,31.7,beach seine,0,98,91,7.8667,I,0.0301,NA,4.15,0.84,0.8,0.4007829,0.89,99.11,0.0089,0.9911,4.293,9.530,4.255
Pacific cod,EFH18/19-217,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,98,91,7.8853,I,0.0562,NA,7.68,0.84,0.77,0.7779947,10.091,89.909,0.10091,0.89909,3.066,39.763,2.756
Pacific cod,EFH18/19-138,Cook Bay,EG South,10/8/2018,Oct,2018,281,9.3,30,beach seine,0,94,87,7.9803,M,0.0696,6.0926,13.92,0.96,0.82,1.0234993,19.58,80.42,0.1958,0.8042,5.186,88.890,4.171
Pacific cod,EFH18/19-180,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,98,91,7.9866,M,0.0345,6.7262,6.12,0.85,0.79,0.4622496,3.781,96.219,0.03781,0.96219,4.339,31.984,4.175
Pacific cod,EFH18/19-297,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,96,88,8.0252,I,0.0646,NA,5.24,0.91,0.85,0.8567753,6.783,93.217,0.06783,0.93217,3.125,24.740,2.913
Pacific cod,EFH18/19-269,Cook Bay,EG South,8/21/2020,Aug,2020,234,13.1,31.7,beach seine,0,98,93,8.2014,I,0.0579,NA,11.44,0.87,0.77,0.8035751,10.285,89.715,0.10285,0.89715,2.291,29.321,2.055
Pacific cod,EFH18/19-298,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,102,94,8.2803,I,0.1046,NA,2.87,0.78,0.75,1.3176625,19.59,80.41,0.1959,0.8041,4.350,64.666,3.497
Pacific cod,EFH18/19-158,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,103,96,8.2828,M,0.1203,7.2555,5.13,0.76,0.71,1.5547457,23.507,76.493,0.23507,0.76493,7.560,107.186,5.783
Pacific cod,EFH18/19-222,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,102,93,8.491,I,0.0582,NA,7.54,0.8,0.73,0.746872,7.438,92.562,0.07438,0.92562,4.092,40.752,3.788
Pacific cod,EFH18/19-305,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,103,96,8.6389,I,0.0471,NA,4.03,0.79,0.75,0.5713315,2.538,97.462,0.02538,0.97462,3.313,14.718,3.229
Pacific cod,EFH18/19-289,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,101,94,8.7967,I,0.0546,NA,4.4,0.85,0.81,0.6535165,5.852,94.148,0.05852,0.94148,2.763,24.743,2.601
Pacific cod,EFH18/19-157,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,102,95,8.9747,M,0.2421,7.7727,2.83,0.85,0.8,2.8554579,45.336,54.664,0.45336,0.54664,9.039,131.563,4.941
Pacific cod,EFH18/19-141,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,103,96,9.2405,F,0.1123,7.7017,6.85,0.85,0.78,1.3218607,30.442,69.558,0.30442,0.69558,6.644,138.719,4.622
