Species,Specimen_num,bay,site,date_cap,Month,Year,Jul_date,temp,sal,net,age,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per,HSIwet,HSI_wet,lipid_num,per_liver_lipid ,per_mus_lipid
Pacific cod,EFH18/19-201,Cook Bay,EG South,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,92,85,6.3693,M,0.2773,4,5.42,0.037948872,4.825546,316L,NA,NA
Pacific cod,EFH18/19-202,Cook Bay,EG South,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,107,99,10.2128,M,0.2166,6,6.43,0.020403357,2.3191571,317L,50.223,49.777
Pacific cod,EFH18/19-203,Cook Bay,EG West,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,96,89,6.7532,M,0.2993,4,4.29,0.038555676,4.8552194,318L,73.541,26.459
Pacific cod,EFH18/19-204,Cook Bay,EG West,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,90,83,4.4276,M,0.0518,4,2.9,0.008536445,1.2195409,319L,20.362,79.638
Pacific cod,EFH18/19-205,Cook Bay,EG West,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,113,104,10.0547,M,0.0926,3,2.95,0.008531889,0.9580169,320L,7.672,92.328
Pacific cod,EFH18/19-206,Cook Bay,EG West,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,112,103,10.7928,M,0.1693,2,3.9,0.015055848,1.6593322,321L,41.015,58.985
Pacific cod,EFH18/19-207,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,85,78,4.4735,I,0.0293,6,4.35,NA,0.6894442,322L,2.805,97.195
Pacific cod,EFH18/19-208,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,96,89,6.4634,I,0.0231,6,7.45,NA,0.3876489,323L,1.382,98.618
Pacific cod,EFH18/19-209,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,75,69,3.2506,I,0.0046,5,4.37,NA,0.1482054,324L,0.694,99.306
Pacific cod,EFH18/19-210,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,86,80,3.8551,I,0.0123,6,6.32,NA,0.3417616,325L,1.604,98.396
Pacific cod,EFH18/19-211,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,92,85,5.6229,I,0.0179,5,3.59,NA,0.3312852,326L,0.931,99.069
Pacific cod,EFH18/19-212,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,87,80,5.5088,I,0.0282,6,6.91,NA,0.5529412,327L,3.061,96.939
Pacific cod,EFH18/19-213,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,98,90,7.8518,I,0.0319,5,3.8,NA,0.4241344,328L,2.657,97.343
Pacific cod,EFH18/19-214,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,90,84,6.3021,I,0.0523,5,5.73,NA,0.8881719,329L,6.098,93.902
Pacific cod,EFH18/19-215,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,89,82,5.7205,I,0.0277,5,6.23,NA,0.5190765,330L,4.107,95.893
Pacific cod,EFH18/19-216,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,77,72,3.6905,I,0.0124,4,4.1,NA,0.3515935,331L,1.68,98.32
Pacific cod,EFH18/19-217,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,98,91,7.8853,I,0.0562,6,7.68,NA,0.7779947,332L,10.091,89.909
Pacific cod,EFH18/19-218,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,114,105,13.0347,I,0.0893,6,7.52,NA,0.7463373,333L,4.782,95.218
Pacific cod,EFH18/19-219,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,104,96,9.2834,I,0.0438,4,3.22,NA,0.489889,334L,1.656,98.344
Pacific cod,EFH18/19-220,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,105,97,9.8596,I,0.0466,4,5.95,NA,0.5050724,335L,3.117,96.883
Pacific cod,EFH18/19-221,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,82,77,4.2142,I,0.0248,5,3.05,NA,0.610687,336L,3.892,96.108
Pacific cod,EFH18/19-222,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,102,93,8.491,I,0.0582,6,7.54,NA,0.746872,337L,7.438,92.562
Pacific cod,EFH18/19-223,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,82,76,3.9822,I,0.0493,4,6.35,NA,1.3396375,338L,7.412,92.588
Pacific cod,EFH18/19-224,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,83,76,3.6195,I,0.0238,4,4.25,NA,0.6915187,339L,3.239,96.761
Pacific cod,EFH18/19-225,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,91,84,5.8459,I,0.0976,4,3.67,NA,1.7637704,340L,14.759,85.241
Pacific cod,EFH18/19-226,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,129,119,17.4,I,0.2261,4,6.87,NA,1.4150264,341L,26.644,73.356
Pacific cod,EFH18/19-227,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,35,32,0.2645,I,0.0028,4,3.82,NA,1.1128776,342L,1.791,98.209
Pacific cod,EFH18/19-228,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,30,27,0.2438,I,0.0021,3,2.38,NA,0.8902077,343L,0.981,99.019
Pacific cod,EFH18/19-229,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,34,31,0.2601,I,0.0005,3,6.92,NA,0.2069536,344L,0.249,99.751
Pacific cod,EFH18/19-230,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,32,29,0.2462,I,0.0008,4,2.68,NA,0.3350084,345L,0.179,99.821
Pacific cod,EFH18/19-235,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,33,30,0.3037,I,0.0018,4,2.77,NA,0.6132879,346L,0.652,99.348
Pacific cod,EFH18/19-237,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,34,30,0.3266,I,0.0011,5,3.83,NA,0.3514377,347L,0.56,99.44
Pacific cod,EFH18/19-238,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,41,37,0.5041,I,0.0007,2,6.37,NA,0.1485254,348L,0.459,99.541
